Customer Name,Sales,Profit,Quantity,Cluster,Customer Segment
Aaron Bergman,886.156,129.3465,13,0,Budget
Aaron Hawkins,1744.7,365.2152,54,1,Regular
Aaron Smayling,3050.692,-253.57459999999998,48,0,Budget
Adam Bellavance,7755.62,2054.5885,56,2,Premium
Adam Hart,3250.337,281.189,75,1,Regular
Adam Shillingsburg,3255.31,64.53739999999998,81,1,Regular
Adrian Barton,14473.570999999998,5444.8055,73,2,Premium
Adrian Hane,1735.5140000000001,-2.3145999999999773,65,1,Regular
Adrian Shami,58.82,21.8496,9,0,Budget
Aimee Bixby,966.71,313.6597,37,0,Budget
Alan Barnes,1113.838,220.813,48,0,Budget
Alan Dominguez,6106.88,1869.9294,40,2,Premium
Alan Haines,1587.452,-378.5509,28,0,Budget
Alan Hwang,4805.344,1308.5546,53,1,Regular
Alan Schoenberger,4260.784,719.7751000000001,41,1,Regular
Alan Shonely,584.6080000000001,33.715799999999994,39,0,Budget
Alejandro Ballentine,914.5319999999999,264.5675,39,0,Budget
Alejandro Grove,2582.898,732.7399,58,1,Regular
Alejandro Savely,3214.236,354.62760000000003,39,0,Budget
Aleksandra Gannaway,367.548,59.288399999999996,16,0,Budget
Alex Avila,5563.56,-362.8825,30,0,Budget
Alex Grayson,660.972,-5.137100000000006,47,0,Budget
Alex Russell,1055.694,-221.0544,18,0,Budget
Alice McCarthy,814.012,194.9878,48,0,Budget
Allen Armold,1056.39,277.3824,41,0,Budget
Allen Goldenen,200.945,69.2784,33,0,Budget
Allen Rosenblatt,2236.128,-98.7646,29,0,Budget
Alyssa Crouse,925.8,-62.1342,17,0,Budget
Alyssa Tate,1171.814,100.87680000000002,28,0,Budget
Amy Cox,5527.846,1366.0098,43,1,Regular
Amy Hunt,2495.3916,-196.12009999999998,35,0,Budget
Andrew Allen,1790.5120000000002,435.8274,36,0,Budget
Andrew Gjertsen,2356.855,295.6668,93,1,Regular
Andrew Roberts,264.86400000000003,43.6695,33,0,Budget
Andy Gerbode,1455.038,-152.7613,33,0,Budget
Andy Reiter,6608.448,2884.6208,33,2,Premium
Andy Yotov,497.014,103.3499,34,0,Budget
Anemone Ratner,88.15,32.633,6,0,Budget
Angele Hood,738.504,83.96300000000001,17,0,Budget
Ann Blume,1515.862,-274.9604,38,0,Budget
Ann Chong,2537.6859999999997,298.8273,59,1,Regular
Ann Steele,833.398,136.49190000000002,34,0,Budget
Anna Andreadi,5086.9349999999995,857.8033,64,1,Regular
Anna Chung,657.316,-28.700399999999995,16,0,Budget
Anna Gayman,3489.0396000000005,-246.42570000000003,54,1,Regular
Anna HÃ¤berlin,7888.294,1298.0166,102,2,Premium
Anne McFarland,5664.022,1085.7326,81,1,Regular
Anne Pryor,1638.554,285.7888,85,1,Regular
Annie Thurman,3831.864,974.107,60,1,Regular
Annie Zypern,1622.0179999999998,154.9503,40,0,Budget
Anthony Garverick,170.584,-8.431000000000001,20,0,Budget
Anthony Jacobs,4867.344,150.71300000000005,62,1,Regular
Anthony Johnson,4501.391,1158.7064,88,1,Regular
Anthony O'Donnell,161.28,12.096,2,0,Budget
Anthony Rawles,4523.336,494.83519999999993,54,1,Regular
Anthony Witt,649.376,65.77250000000001,24,0,Budget
Arianne Irving,4375.786,867.7271000000001,72,1,Regular
Art Ferguson,2052.908,317.9712,51,0,Budget
Art Foster,861.565,-163.1175,37,0,Budget
Arthur Gainer,4510.797,343.6824,92,1,Regular
Arthur Prichep,3323.556,579.3113,102,1,Regular
Arthur Wiediger,2852.968,-104.5486,68,1,Regular
Ashley Jarboe,1839.24,521.1351999999999,40,0,Budget
